City,State,Year,Filename,Training Accuracy,Training Confusion Matrix,Validation Accuracy,Validation Confusion Matrix
Vienna,Austria,2019,Austria_Vienna_C,0.998190626,"[[210, 0, 0], [2, 49014, 19], [0, 72, 2082]]",0.998100514,"[[50, 0, 0], [2, 12059, 4], [0, 18, 502]]"
Vienna,Austria,2024,Austria_Vienna_C,0.995774092,"[[596, 40, 0], [48, 46467, 35], [0, 91, 3363]]",0.997010463,"[[139, 5, 0], [9, 11680, 4], [0, 20, 854]]"
Vienna,Austria,2019,Austria_Vienna_N,0.994219025,"[[4122, 8, 0], [118, 33360, 75], [0, 118, 17380]]",0.994527145,"[[1030, 2, 0], [28, 8319, 16], [0, 29, 4280]]"
Vienna,Austria,2024,Austria_Vienna_N,0.981998848,"[[4237, 322, 0], [429, 26459, 157], [0, 92, 23856]]",0.980854408,"[[1031, 84, 0], [131, 6664, 37], [0, 16, 6035]]"
Vienna,Austria,2019,Austria_Vienna_NE,0.993576994,"[[2867, 12, 0], [132, 39867, 106], [0, 102, 11717]]",0.992475763,"[[721, 3, 0], [39, 10002, 31], [0, 31, 2995]]"
Vienna,Austria,2024,Austria_Vienna_NE,0.980916582,"[[2871, 396, 0], [503, 32241, 72], [0, 85, 19168]]",0.98240069,"[[689, 88, 0], [123, 8130, 11], [0, 23, 4857]]"
Vienna,Austria,2019,Austria_Vienna_E,0.994629108,"[[4867, 17, 0], [114, 40953, 16], [0, 139, 7144]]",0.994322851,"[[1196, 2, 0], [29, 10321, 11], [0, 34, 1794]]"
Vienna,Austria,2024,Austria_Vienna_E,0.980096344,"[[5116, 382, 0], [482, 33946, 122], [0, 80, 13430]]",0.979131081,"[[1280, 88, 0], [141, 8495, 33], [0, 19, 3409]]"
Vienna,Austria,2019,Austria_Vienna_SE,0.996119533,"[[17, 12, 0], [7, 42694, 41], [0, 154, 12223]]",0.99554582,"[[2, 1, 0], [1, 10604, 12], [0, 47, 3028]]"
Vienna,Austria,2024,Austria_Vienna_SE,0.995767079,"[[163, 11, 0], [24, 34454, 132], [1, 62, 19489]]",0.995889003,"[[33, 3, 0], [7, 8607, 26], [0, 20, 4926]]"
Vienna,Austria,2019,Austria_Vienna_S,0.994774633,"[[182, 6, 0], [20, 45561, 113], [0, 147, 8704]]",0.994360902,"[[47, 1, 0], [11, 11596, 23], [0, 43, 2111]]"
Vienna,Austria,2024,Austria_Vienna_S,0.99487208,"[[423, 51, 0], [40, 39944, 127], [0, 59, 13374]]",0.995084165,"[[100, 11, 0], [11, 9864, 36], [0, 8, 3396]]"
Vienna,Austria,2019,Austria_Vienna_SW,0.995824259,"[[54, 5, 0], [6, 42937, 76], [0, 145, 12336]]",0.996452617,"[[10, 0, 0], [2, 10767, 16], [0, 31, 2987]]"
Vienna,Austria,2024,Austria_Vienna_SW,0.995842562,"[[131, 33, 0], [25, 36077, 74], [0, 97, 18645]]",0.994912421,"[[38, 7, 0], [5, 8980, 28], [0, 30, 4671]]"
Vienna,Austria,2019,Austria_Vienna_W,0.9948445,"[[14, 10, 0], [1, 42340, 132], [0, 135, 11291]]",0.995043646,"[[7, 1, 0], [1, 10595, 36], [0, 29, 2849]]"
Vienna,Austria,2024,Austria_Vienna_W,0.995409263,"[[90, 5, 0], [9, 36458, 173], [0, 60, 17009]]",0.996311352,"[[27, 2, 0], [1, 9010, 33], [0, 13, 4198]]"
Vienna,Austria,2019,Austria_Vienna_NW,0.995174931,"[[16, 6, 0], [3, 23685, 202], [0, 60, 32193]]",0.994657739,"[[3, 1, 0], [0, 5888, 53], [0, 21, 8073]]"
Vienna,Austria,2024,Austria_Vienna_NW,0.991551405,"[[23, 53, 0], [11, 21372, 286], [0, 124, 34235]]",0.991823094,"[[5, 14, 0], [1, 5409, 68], [0, 32, 8535]]"
Minsk,Belarus,2019,Belarus_Minsk_C,0.993065213,"[[561, 0, 0], [2, 52636, 0], [0, 377, 1076]]",0.99389122,"[[115, 0, 0], [0, 13135, 0], [0, 83, 254]]"
Minsk,Belarus,2024,Belarus_Minsk_C,0.991892539,"[[324, 0, 0], [6, 52130, 0], [0, 434, 1377]]",0.992861825,"[[72, 0, 0], [2, 13220, 0], [0, 96, 339]]"
Minsk,Belarus,2019,Belarus_Minsk_N,0.995134171,"[[971, 9, 0], [41, 40400, 0], [0, 220, 13848]]",0.994240461,"[[243, 1, 0], [14, 10063, 0], [0, 65, 3504]]"
Minsk,Belarus,2024,Belarus_Minsk_N,0.991735686,"[[1170, 2, 0], [43, 46491, 0], [0, 415, 7540]]",0.991813285,"[[276, 0, 0], [15, 11544, 0], [0, 99, 1991]]"
Minsk,Belarus,2019,Belarus_Minsk_NE,0.99125206,"[[1003, 5, 0], [41, 46268, 0], [0, 437, 7459]]",0.991063707,"[[261, 1, 0], [19, 11612, 0], [1, 103, 1879]]"
Minsk,Belarus,2024,Belarus_Minsk_NE,0.990634981,"[[1147, 0, 0], [45, 45574, 0], [0, 474, 8179]]",0.991202975,"[[311, 2, 0], [12, 11453, 0], [0, 109, 2095]]"
Minsk,Belarus,2019,Belarus_Minsk_E,0.994488003,"[[128, 0, 0], [2, 49629, 0], [0, 301, 4911]]",0.993430177,"[[26, 0, 0], [0, 12330, 0], [0, 90, 1253]]"
Minsk,Belarus,2024,Belarus_Minsk_E,0.994165162,"[[88, 0, 0], [3, 49163, 0], [0, 317, 5272]]",0.993653541,"[[19, 0, 0], [0, 12450, 0], [0, 88, 1309]]"
Minsk,Belarus,2019,Belarus_Minsk_SE,0.995971151,"[[2706, 0, 0], [0, 47655, 1], [0, 223, 5014]]",0.996532794,"[[705, 0, 0], [1, 11879, 0], [0, 47, 1212]]"
