City,State,Year,Filename,Training Accuracy,Training Confusion Matrix,Validation Accuracy,Validation Confusion Matrix
Vienna,Austria,2019,Austria_Vienna_C,0.995256532,"[[177, 0, 0, 0], [0, 30789, 51, 0], [0, 59, 5673, 31], [0, 0, 44, 2177]]",0.99596106,"[[38, 0, 0, 0], [1, 7613, 8, 0], [0, 11, 1419, 4], [0, 0, 15, 547]]"
Vienna,Austria,2024,Austria_Vienna_C,0.99544296,"[[157, 0, 0, 0], [0, 30801, 38, 0], [0, 60, 5512, 42], [0, 0, 37, 2194]]",0.994710641,"[[45, 0, 0, 0], [0, 7627, 8, 0], [0, 22, 1352, 8], [0, 0, 13, 567]]"
Vienna,Austria,2019,Austria_Vienna_N,0.984940211,"[[2462, 223, 0, 0], [127, 11187, 28, 0], [0, 71, 13737, 84], [0, 0, 69, 11986]]",0.986225349,"[[685, 57, 0, 0], [23, 2879, 7, 0], [0, 19, 3396, 15], [0, 0, 18, 2992]]"
Vienna,Austria,2024,Austria_Vienna_N,0.993228561,"[[3221, 2, 0, 0], [9, 11041, 86, 0], [0, 35, 13706, 55], [0, 0, 81, 11342]]",0.99380522,"[[861, 1, 0, 0], [3, 2789, 21, 0], [0, 4, 3419, 11], [0, 0, 21, 2717]]"
Vienna,Austria,2019,Austria_Vienna_NE,0.981776822,"[[1624, 256, 0, 0], [172, 18623, 66, 0], [0, 67, 13223, 123], [0, 0, 45, 5805]]",0.982586069,"[[422, 52, 0, 0], [55, 4560, 10, 0], [0, 17, 3406, 27], [0, 0, 13, 1430]]"
Vienna,Austria,2024,Austria_Vienna_NE,0.992441919,"[[2196, 4, 0, 0], [16, 18870, 40, 0], [0, 104, 12902, 81], [0, 0, 53, 5162]]",0.989336854,"[[526, 2, 0, 0], [7, 4716, 17, 0], [0, 29, 3273, 25], [0, 0, 25, 1227]]"
Vienna,Austria,2019,Austria_Vienna_E,0.974426082,"[[3200, 273, 0, 0], [531, 19294, 53, 0], [0, 26, 8714, 91], [0, 0, 52, 7885]]",0.975592537,"[[804, 62, 0, 0], [127, 4822, 14, 0], [0, 7, 2178, 12], [0, 0, 20, 1869]]"
Vienna,Austria,2024,Austria_Vienna_E,0.991558276,"[[3528, 42, 0, 0], [72, 19559, 45, 0], [0, 44, 8858, 53], [0, 0, 75, 6934]]",0.991808378,"[[838, 5, 0, 0], [15, 4748, 11, 0], [0, 11, 2231, 17], [0, 0, 20, 1748]]"
Vienna,Austria,2019,Austria_Vienna_SE,0.992391881,"[[25, 7, 0, 0], [15, 20712, 80, 0], [0, 49, 12746, 45], [0, 0, 105, 5779]]",0.993390279,"[[4, 2, 0, 0], [4, 5264, 19, 0], [0, 9, 3088, 11], [0, 0, 20, 1413]]"
Vienna,Austria,2024,Austria_Vienna_SE,0.993701783,"[[29, 3, 0, 0], [5, 21198, 59, 0], [0, 52, 12646, 58], [0, 0, 72, 5413]]",0.99272839,"[[13, 0, 0, 0], [2, 5273, 22, 0], [0, 11, 3112, 13], [0, 0, 23, 1295]]"
Vienna,Austria,2019,Austria_Vienna_S,0.993263947,"[[158, 4, 0, 0], [4, 22744, 78, 0], [0, 71, 11295, 45], [0, 0, 64, 5026]]",0.991991299,"[[38, 0, 0, 0], [3, 5636, 21, 0], [0, 14, 3057, 20], [0, 0, 23, 1302]]"
Vienna,Austria,2024,Austria_Vienna_S,0.994066406,"[[159, 5, 0, 0], [6, 23113, 33, 0], [0, 60, 11327, 65], [0, 0, 66, 4771]]",0.993865031,"[[31, 4, 0, 0], [1, 5767, 6, 0], [0, 16, 2868, 21], [0, 0, 13, 1216]]"
Vienna,Austria,2019,Austria_Vienna_SW,0.992561425,"[[50, 0, 0, 0], [4, 19229, 66, 0], [0, 83, 14002, 65], [0, 0, 79, 6349]]",0.993016063,"[[20, 0, 0, 0], [2, 4882, 18, 0], [0, 17, 3474, 15], [0, 0, 18, 1577]]"
Vienna,Austria,2024,Austria_Vienna_SW,0.993285059,"[[53, 4, 0, 0], [5, 19370, 44, 0], [0, 65, 13957, 41], [0, 0, 109, 6263]]",0.993456156,"[[19, 0, 0, 0], [1, 4801, 11, 0], [0, 14, 3449, 17], [0, 0, 22, 1599]]"
Vienna,Austria,2019,Austria_Vienna_W,0.993782673,"[[0, 2, 0, 0], [0, 21176, 45, 0], [0, 67, 11683, 66], [0, 0, 65, 6302]]",0.992739008,"[[0, 0, 0, 0], [0, 5309, 16, 0], [0, 25, 2948, 18], [0, 0, 13, 1587]]"
Vienna,Austria,2024,Austria_Vienna_W,0.994184865,"[[4, 2, 0, 0], [0, 21403, 58, 0], [0, 47, 11642, 49], [0, 0, 73, 6102]]",0.994018654,"[[1, 1, 0, 0], [0, 5373, 14, 0], [0, 11, 2933, 7], [0, 0, 26, 1498]]"
