City,State,Year,Filename,Training Accuracy,Training Confusion Matrix,Validation Accuracy,Validation Confusion Matrix
Vijayawada,AndhraPradesh,2019,AndhraPradesh_Vijayawada_C,0.9970046,"[[0, 0, 0], [0, 45913, 41], [0, 127, 10005]]",0.996934265,"[[0, 0, 0], [0, 11458, 7], [0, 36, 2525]]"
Vijayawada,AndhraPradesh,2024,AndhraPradesh_Vijayawada_C,0.997255587,"[[14, 0, 0], [0, 43137, 77], [0, 77, 12809]]",0.996835443,"[[3, 0, 0], [0, 10617, 18], [0, 26, 3240]]"
Vijayawada,AndhraPradesh,2019,AndhraPradesh_Vijayawada_N,0.99816004,"[[201, 1, 0], [1, 21246, 87], [0, 13, 33887]]",0.9982066,"[[55, 0, 0], [0, 5277, 20], [0, 5, 8583]]"
Vijayawada,AndhraPradesh,2024,AndhraPradesh_Vijayawada_N,0.995291783,"[[402, 0, 0], [3, 23490, 240], [0, 18, 31282]]",0.996326442,"[[96, 0, 0], [3, 5874, 44], [0, 4, 7862]]"
Vijayawada,AndhraPradesh,2019,AndhraPradesh_Vijayawada_NE,0.998289459,"[[1066, 1, 0], [5, 15990, 81], [0, 8, 38387]]",0.998518519,"[[304, 0, 0], [1, 4105, 17], [0, 3, 9745]]"
Vijayawada,AndhraPradesh,2024,AndhraPradesh_Vijayawada_NE,0.993068967,"[[693, 5, 0], [9, 12682, 360], [0, 10, 41644]]",0.992821405,"[[199, 1, 0], [2, 3210, 89], [0, 7, 10283]]"
Vijayawada,AndhraPradesh,2019,AndhraPradesh_Vijayawada_E,0.99806132,"[[0, 0, 0], [0, 24900, 69], [0, 39, 30700]]",0.997958753,"[[0, 0, 0], [0, 6435, 17], [0, 12, 7743]]"
Vijayawada,AndhraPradesh,2024,AndhraPradesh_Vijayawada_E,0.997301355,"[[0, 0, 0], [0, 23193, 88], [0, 63, 32610]]",0.997552372,"[[0, 0, 0], [0, 5783, 17], [0, 17, 8074]]"
Vijayawada,AndhraPradesh,2019,AndhraPradesh_Vijayawada_SE,0.997917334,"[[70, 18, 0], [0, 19735, 96], [0, 3, 36256]]",0.998099395,"[[19, 4, 0], [0, 4975, 23], [0, 0, 9185]]"
Vijayawada,AndhraPradesh,2024,AndhraPradesh_Vijayawada_SE,0.995918513,"[[653, 0, 0], [2, 16094, 165], [0, 62, 39131]]",0.995777571,"[[135, 0, 0], [0, 4032, 47], [0, 12, 9747]]"
Vijayawada,AndhraPradesh,2019,AndhraPradesh_Vijayawada_S,0.997304823,"[[582, 0, 0], [6, 27882, 70], [0, 75, 27411]]",0.996658847,"[[141, 0, 0], [0, 6940, 19], [0, 28, 6939]]"
Vijayawada,AndhraPradesh,2024,AndhraPradesh_Vijayawada_S,0.996909843,"[[961, 0, 0], [0, 22956, 127], [0, 44, 31249]]",0.99590958,"[[263, 0, 0], [0, 5720, 36], [0, 21, 7895]]"
Vijayawada,AndhraPradesh,2019,AndhraPradesh_Vijayawada_SW,0.996756679,"[[15, 8, 0], [0, 28027, 140], [0, 33, 27584]]",0.996446443,"[[6, 0, 0], [0, 6964, 38], [0, 11, 6770]]"
Vijayawada,AndhraPradesh,2024,AndhraPradesh_Vijayawada_SW,0.996570977,"[[9, 0, 0], [0, 18312, 141], [0, 50, 37189]]",0.995629746,"[[0, 0, 0], [0, 4621, 39], [0, 22, 9276]]"
Vijayawada,AndhraPradesh,2019,AndhraPradesh_Vijayawada_W,0.994175773,"[[11079, 46, 0], [208, 27602, 39], [0, 30, 16454]]",0.99421203,"[[2730, 16, 0], [47, 6857, 10], [0, 6, 3983]]"
Vijayawada,AndhraPradesh,2024,AndhraPradesh_Vijayawada_W,0.996477834,"[[10051, 0, 0], [59, 24467, 86], [0, 46, 19519]]",0.995703466,"[[2486, 0, 0], [26, 6268, 21], [0, 12, 4919]]"
Vijayawada,AndhraPradesh,2019,AndhraPradesh_Vijayawada_NW,0.997402176,"[[0, 14, 0], [0, 19070, 127], [0, 3, 36217]]",0.998785801,"[[0, 3, 0], [0, 4747, 13], [0, 1, 9237]]"
Vijayawada,AndhraPradesh,2024,AndhraPradesh_Vijayawada_NW,0.995751927,"[[78, 119, 0], [2, 31327, 42], [0, 74, 24148]]",0.995652174,"[[22, 28, 0], [0, 7796, 15], [0, 17, 5922]]"
Visakhapatnam,AndhraPradesh,2019,AndhraPradesh_Visakhapatnam_C,0.998030333,"[[0, 27, 0], [0, 37593, 31], [0, 52, 18144]]",0.997780165,"[[0, 4, 0], [0, 9487, 8], [0, 19, 4447]]"
Visakhapatnam,AndhraPradesh,2024,AndhraPradesh_Visakhapatnam_C,0.997182391,"[[80, 20, 0], [9, 34789, 21], [0, 107, 20695]]",0.997373092,"[[21, 5, 0], [1, 8801, 6], [0, 25, 5226]]"
Visakhapatnam,AndhraPradesh,2019,AndhraPradesh_Visakhapatnam_N,0.998583265,"[[376, 3, 0], [0, 26965, 31], [0, 45, 28342]]",0.998351727,"[[97, 2, 0], [0, 6718, 8], [0, 13, 7116]]"
Visakhapatnam,AndhraPradesh,2024,AndhraPradesh_Visakhapatnam_N,0.997625216,"[[479, 0, 0], [0, 21997, 66], [0, 66, 32976]]",0.99791861,"[[108, 0, 0], [0, 5504, 14], [0, 15, 8292]]"
Visakhapatnam,AndhraPradesh,2019,AndhraPradesh_Visakhapatnam_NE,0.998959567,"[[0, 0, 0], [0, 28260, 27], [0, 31, 27428]]",0.998713551,"[[0, 0, 0], [0, 7115, 8], [0, 10, 6859]]"
Visakhapatnam,AndhraPradesh,2024,AndhraPradesh_Visakhapatnam_NE,0.997678323,"[[19, 8, 0], [2, 23899, 51], [0, 69, 31946]]",0.997300846,"[[6, 0, 0], [0, 5813, 14], [0, 23, 7852]]"
Visakhapatnam,AndhraPradesh,2019,AndhraPradesh_Visakhapatnam_E,0.996212466,"[[4036, 2, 0], [115, 29927, 49], [0, 42, 20746]]",0.996620164,"[[944, 2, 0], [25, 7600, 12], [0, 8, 5315]]"
Visakhapatnam,AndhraPradesh,2024,AndhraPradesh_Visakhapatnam_E,0.996810469,"[[3741, 3, 0], [17, 27000, 62], [0, 93, 23951]]",0.997970279,"[[939, 0, 0], [0, 6752, 8], [0, 20, 6076]]"
Visakhapatnam,AndhraPradesh,2019,AndhraPradesh_Visakhapatnam_SE,0.997768614,"[[38048, 0, 0], [13, 2883, 106], [0, 6, 14963]]",0.997676711,"[[9647, 0, 0], [4, 736, 28], [0, 1, 3788]]"
Visakhapatnam,AndhraPradesh,2024,AndhraPradesh_Visakhapatnam_SE,0.998182434,"[[37990, 0, 0], [5, 2822, 96], [0, 1, 15205]]",0.998088496,"[[9772, 0, 0], [2, 698, 23], [0, 2, 3628]]"
Visakhapatnam,AndhraPradesh,2019,AndhraPradesh_Visakhapatnam_S,0.995223668,"[[1389, 78, 0], [92, 31505, 48], [0, 50, 22948]]",0.994659641,"[[331, 22, 0], [18, 7854, 20], [0, 15, 5784]]"
Visakhapatnam,AndhraPradesh,2024,AndhraPradesh_Visakhapatnam_S,0.998546642,"[[1285, 1, 0], [5, 29552, 36], [0, 39, 24815]]",0.998027197,"[[320, 0, 0], [0, 7487, 18], [0, 10, 6358]]"
Visakhapatnam,AndhraPradesh,2019,AndhraPradesh_Visakhapatnam_SW,0.997295991,"[[439, 0, 0], [0, 22060, 141], [0, 10, 33193]]",0.996931859,"[[97, 0, 0], [0, 5555, 38], [0, 5, 8320]]"
Visakhapatnam,AndhraPradesh,2024,AndhraPradesh_Visakhapatnam_SW,0.997560494,"[[443, 0, 0], [0, 15446, 86], [0, 50, 39724]]",0.998216197,"[[105, 0, 0], [0, 3896, 18], [0, 7, 9989]]"
Visakhapatnam,AndhraPradesh,2019,AndhraPradesh_Visakhapatnam_W,0.997526495,"[[4462, 0, 0], [1, 35334, 51], [0, 85, 15454]]",0.998327516,"[[1112, 0, 0], [0, 8682, 9], [0, 14, 3935]]"
Visakhapatnam,AndhraPradesh,2024,AndhraPradesh_Visakhapatnam_W,0.996764448,"[[5608, 0, 0], [8, 24351, 63], [0, 110, 25801]]",0.997403909,"[[1436, 0, 0], [3, 5943, 13], [0, 20, 6452]]"
Visakhapatnam,AndhraPradesh,2019,AndhraPradesh_Visakhapatnam_NW,0.998527061,"[[704, 1, 0], [6, 14590, 45], [0, 30, 40295]]",0.998492787,"[[197, 4, 0], [1, 3732, 9], [0, 7, 9983]]"
