City,State,Year,Filename,Training Accuracy,Training Confusion Matrix,Validation Accuracy,Validation Confusion Matrix
Birmingham,Alabama,2019,Alabama_Birmingham_C,0.990845585,"[[0, 2, 0, 0], [0, 11252, 100, 0], [0, 67, 14721, 98], [0, 0, 96, 13317]]",0.990735085,"[[0, 0, 0, 0], [0, 2710, 21, 0], [0, 18, 3719, 24], [0, 0, 28, 3302]]"
Birmingham,Alabama,2024,Alabama_Birmingham_C,0.991918836,"[[7, 0, 0, 0], [0, 11610, 84, 0], [0, 61, 14036, 112], [0, 0, 64, 13748]]",0.99044586,"[[2, 0, 0, 0], [0, 2894, 25, 0], [0, 18, 3580, 39], [0, 0, 14, 3476]]"
Birmingham,Alabama,2019,Alabama_Birmingham_N,0.991451034,"[[162, 9, 0, 0], [22, 13628, 146, 0], [0, 53, 14181, 60], [0, 0, 46, 10996]]",0.991566389,"[[35, 2, 0, 0], [7, 3344, 38, 0], [0, 11, 3562, 18], [0, 0, 6, 2700]]"
Birmingham,Alabama,2024,Alabama_Birmingham_N,0.992309833,"[[163, 8, 0, 0], [17, 13730, 130, 0], [0, 48, 13655, 55], [0, 0, 46, 11679]]",0.990522745,"[[34, 1, 0, 0], [6, 3509, 31, 0], [0, 21, 3467, 14], [0, 0, 22, 2919]]"
Birmingham,Alabama,2019,Alabama_Birmingham_NE,0.992612137,"[[96, 0, 0, 0], [1, 6116, 94, 0], [0, 29, 11742, 114], [0, 0, 56, 21547]]",0.99406117,"[[27, 0, 0, 0], [0, 1610, 18, 0], [0, 4, 2975, 26], [0, 0, 12, 5431]]"
Birmingham,Alabama,2024,Alabama_Birmingham_NE,0.993957022,"[[111, 0, 0, 0], [0, 6086, 84, 0], [0, 42, 11616, 61], [0, 0, 54, 21827]]",0.9936596,"[[26, 0, 0, 0], [0, 1629, 23, 0], [0, 14, 2914, 14], [0, 0, 13, 5461]]"
Birmingham,Alabama,2019,Alabama_Birmingham_E,0.991302369,"[[41, 20, 0, 0], [18, 7268, 105, 0], [0, 33, 10669, 139], [0, 0, 29, 21229]]",0.990517069,"[[11, 4, 0, 0], [6, 1800, 28, 0], [0, 7, 2715, 41], [0, 0, 9, 5397]]"
Birmingham,Alabama,2024,Alabama_Birmingham_E,0.993646568,"[[42, 22, 0, 0], [16, 7450, 68, 0], [0, 29, 10376, 68], [0, 0, 50, 21700]]",0.993322541,"[[6, 6, 0, 0], [7, 1815, 10, 0], [0, 13, 2580, 23], [0, 0, 7, 5417]]"
Birmingham,Alabama,2019,Alabama_Birmingham_SE,0.993066894,"[[0, 7, 0, 0], [0, 4103, 59, 0], [0, 37, 8326, 130], [0, 0, 43, 27104]]",0.993409045,"[[0, 1, 0, 0], [0, 1003, 16, 0], [0, 12, 2027, 25], [0, 0, 11, 6767]]"
Birmingham,Alabama,2024,Alabama_Birmingham_SE,0.99334221,"[[20, 0, 0, 0], [0, 4501, 66, 0], [0, 44, 7513, 124], [0, 0, 31, 27504]]",0.993313747,"[[4, 0, 0, 0], [0, 1073, 13, 0], [0, 7, 1967, 40], [0, 0, 6, 6761]]"
Birmingham,Alabama,2019,Alabama_Birmingham_S,0.99162441,"[[80, 0, 0, 0], [0, 5790, 108, 0], [0, 34, 12941, 121], [0, 0, 69, 20496]]",0.991412496,"[[20, 0, 0, 0], [0, 1512, 20, 0], [0, 7, 3283, 38], [0, 0, 22, 5229]]"
Birmingham,Alabama,2024,Alabama_Birmingham_S,0.99100005,"[[68, 0, 0, 0], [2, 5645, 88, 0], [0, 42, 11794, 179], [0, 0, 47, 21913]]",0.991723175,"[[34, 0, 0, 0], [0, 1416, 18, 0], [0, 7, 3061, 45], [0, 0, 13, 5434]]"
Birmingham,Alabama,2019,Alabama_Birmingham_SW,0.990668038,"[[0, 1, 0, 0], [0, 11773, 121, 0], [0, 60, 14559, 103], [0, 0, 87, 13159]]",0.991975928,"[[0, 0, 0, 0], [0, 2889, 25, 0], [0, 19, 3728, 17], [0, 0, 19, 3273]]"
