City,State,Year,Filename,Training Accuracy,Training Confusion Matrix,Validation Accuracy,Validation Confusion Matrix
Fayetteville,Arkansas,2019,Arkansas_Fayetteville_C,0.993016795,"[[2, 1, 0, 0], [1, 10142, 64, 0], [0, 27, 12139, 109], [0, 0, 77, 17391]]",0.991319269,"[[0, 1, 0, 0], [0, 2577, 24, 0], [0, 10, 3030, 30], [0, 0, 21, 4214]]"
Fayetteville,Arkansas,2024,Arkansas_Fayetteville_C,0.992731465,"[[1, 2, 0, 0], [0, 11061, 65, 0], [0, 33, 12790, 98], [0, 0, 92, 15756]]",0.990985516,"[[0, 0, 0, 0], [0, 2792, 27, 0], [0, 10, 3240, 29], [0, 0, 23, 3752]]"
Fayetteville,Arkansas,2019,Arkansas_Fayetteville_N,0.991744955,"[[0, 0, 0, 0], [0, 9320, 60, 0], [0, 49, 10523, 192], [0, 0, 25, 19322]]",0.989851756,"[[0, 0, 0, 0], [0, 2253, 30, 0], [0, 15, 2731, 50], [0, 0, 7, 4965]]"
Fayetteville,Arkansas,2024,Arkansas_Fayetteville_N,0.993134896,"[[0, 1, 0, 0], [0, 9859, 48, 0], [0, 52, 12483, 102], [0, 0, 68, 16862]]",0.993070202,"[[0, 0, 0, 0], [0, 2431, 16, 0], [0, 15, 3155, 22], [0, 0, 16, 4302]]"
Fayetteville,Arkansas,2019,Arkansas_Fayetteville_NE,0.991933457,"[[712, 0, 0, 0], [27, 6756, 44, 0], [0, 16, 12366, 180], [0, 0, 54, 19639]]",0.992428831,"[[172, 0, 0, 0], [5, 1724, 13, 0], [0, 5, 3033, 40], [0, 0, 12, 4902]]"
Fayetteville,Arkansas,2024,Arkansas_Fayetteville_NE,0.989904853,"[[813, 4, 0, 0], [16, 6534, 68, 0], [0, 44, 12148, 225], [0, 0, 43, 19728]]",0.989449587,"[[224, 1, 0, 0], [4, 1635, 25, 0], [0, 15, 3031, 51], [0, 0, 10, 5051]]"
Fayetteville,Arkansas,2019,Arkansas_Fayetteville_E,0.990878649,"[[0, 0, 0, 0], [0, 3069, 83, 0], [0, 26, 9901, 202], [0, 0, 54, 26681]]",0.991045377,"[[0, 0, 0, 0], [0, 766, 19, 0], [0, 5, 2462, 53], [0, 0, 12, 6622]]"
Fayetteville,Arkansas,2024,Arkansas_Fayetteville_E,0.990969356,"[[0, 0, 0, 0], [0, 3387, 120, 0], [0, 22, 10189, 161], [0, 0, 58, 26038]]",0.99377635,"[[0, 0, 0, 0], [0, 773, 28, 0], [0, 6, 2612, 14], [0, 0, 14, 6515]]"
Fayetteville,Arkansas,2019,Arkansas_Fayetteville_SE,0.992536009,"[[24, 0, 0, 0], [0, 2611, 41, 0], [0, 22, 7322, 204], [0, 0, 32, 29803]]",0.99164033,"[[6, 0, 0, 0], [0, 643, 11, 0], [0, 10, 1831, 47], [0, 0, 14, 7247]]"
Fayetteville,Arkansas,2024,Arkansas_Fayetteville_SE,0.991521597,"[[3, 1, 0, 0], [0, 3221, 29, 0], [0, 27, 6574, 255], [0, 0, 26, 29730]]",0.991539934,"[[0, 0, 0, 0], [0, 775, 5, 0], [0, 9, 1716, 69], [0, 0, 1, 7354]]"
Fayetteville,Arkansas,2019,Arkansas_Fayetteville_S,0.992567568,"[[0, 0, 0, 0], [0, 5052, 50, 0], [0, 34, 9203, 160], [0, 0, 53, 25408]]",0.991734714,"[[0, 1, 0, 0], [0, 1302, 11, 0], [0, 19, 2229, 41], [0, 0, 11, 6428]]"
Fayetteville,Arkansas,2024,Arkansas_Fayetteville_S,0.991739054,"[[0, 1, 0, 0], [0, 5279, 42, 0], [0, 40, 7227, 229], [0, 0, 18, 27111]]",0.991661644,"[[0, 1, 0, 0], [0, 1335, 14, 0], [0, 15, 1762, 47], [0, 0, 6, 6774]]"
Fayetteville,Arkansas,2019,Arkansas_Fayetteville_SW,0.992845707,"[[0, 0, 0, 0], [0, 2013, 49, 0], [0, 32, 7335, 181], [0, 0, 24, 30342]]",0.991225476,"[[0, 0, 0, 0], [0, 510, 25, 0], [0, 6, 1863, 48], [0, 0, 10, 7681]]"
Fayetteville,Arkansas,2024,Arkansas_Fayetteville_SW,0.993040832,"[[0, 1, 0, 0], [0, 2302, 46, 0], [0, 18, 6305, 198], [0, 0, 16, 31205]]",0.992566549,"[[0, 1, 0, 0], [0, 584, 10, 0], [0, 6, 1635, 53], [0, 0, 4, 7662]]"
Fayetteville,Arkansas,2019,Arkansas_Fayetteville_W,0.990538158,"[[1, 3, 0, 0], [0, 6878, 72, 0], [0, 60, 10937, 211], [0, 0, 35, 22070]]",0.990375848,"[[0, 1, 0, 0], [0, 1627, 12, 0], [0, 16, 2722, 54], [0, 0, 12, 5427]]"
Fayetteville,Arkansas,2024,Arkansas_Fayetteville_W,0.990854344,"[[0, 0, 0, 0], [0, 8575, 74, 0], [0, 84, 12666, 144], [0, 0, 64, 18412]]",0.990631852,"[[0, 0, 0, 0], [0, 2072, 22, 0], [0, 22, 3231, 39], [0, 0, 11, 4637]]"
Fayetteville,Arkansas,2019,Arkansas_Fayetteville_NW,0.99105179,"[[0, 0, 0, 0], [0, 1399, 61, 0], [0, 24, 6398, 256], [0, 0, 17, 31853]]",0.991845364,"[[0, 0, 0, 0], [0, 338, 13, 0], [0, 3, 1561, 62], [0, 0, 3, 7953]]"
Fayetteville,Arkansas,2024,Arkansas_Fayetteville_NW,0.993339198,"[[0, 1, 0, 0], [0, 1783, 73, 0], [0, 17, 12332, 95], [0, 0, 79, 25405]]",0.993700787,"[[0, 1, 0, 0], [0, 459, 17, 0], [0, 4, 3134, 19], [0, 0, 23, 6503]]"
