City,State,Year,Filename,Training Accuracy,Training Confusion Matrix,Validation Accuracy,Validation Confusion Matrix
NaviMumbai,Maharashtra,2019,Maharashtra_NaviMumbai_C,0.9989038844,"[[1473, 0, 0], [31, 27689, 0], [0, 1, 0]]",0.9993207445,"[[375, 0], [5, 6981]]"
NaviMumbai,Maharashtra,2024,Maharashtra_NaviMumbai_C,0.9986000933,"[[2786, 0, 0], [36, 22173, 0], [0, 0, 721]]",0.9989182507,"[[694, 0, 0], [7, 5609, 0], [0, 0, 161]]"
NaviMumbai,Maharashtra,2019,Maharashtra_NaviMumbai_N,1,"[[62, 0, 0], [0, 35544, 0], [0, 0, 54]]",0.9998886662,"[[19, 0, 0], [1, 8949, 0], [0, 0, 13]]"
NaviMumbai,Maharashtra,2024,Maharashtra_NaviMumbai_N,0.9993323371,"[[65, 19, 0], [2, 31104, 0], [0, 0, 263]]",0.999120603,"[[25, 4, 0], [3, 7855, 0], [0, 0, 73]]"
NaviMumbai,Maharashtra,2019,Maharashtra_NaviMumbai_NE,0.9998643406,"[[7, 1, 0], [0, 36845, 0], [0, 4, 0]]",0.9996782842,"[[0, 0, 0], [0, 9322, 0], [0, 3, 0]]"
NaviMumbai,Maharashtra,2024,Maharashtra_NaviMumbai_NE,1,"[[0, 0, 0], [0, 33940, 0], [0, 0, 81]]",1,"[[0, 0, 0], [0, 8570, 0], [0, 0, 21]]"
NaviMumbai,Maharashtra,2019,Maharashtra_NaviMumbai_E,0.9998191588,"[[0, 5, 0], [0, 38701, 0], [0, 2, 0]]",1,"[[0, 0], [0, 9702]]"
NaviMumbai,Maharashtra,2024,Maharashtra_NaviMumbai_E,0.9998898132,"[[0, 4, 0], [0, 36191, 0], [0, 0, 107]]",0.9998883056,"[[0, 1, 0], [0, 8926, 0], [0, 0, 26]]"
NaviMumbai,Maharashtra,2019,Maharashtra_NaviMumbai_SE,1,"[[0, 0, 0], [0, 35082, 0], [0, 0, 62]]",1,"[[0, 0, 0], [0, 8714, 0], [0, 0, 12]]"
NaviMumbai,Maharashtra,2024,Maharashtra_NaviMumbai_SE,0.9999005338,"[[0, 3, 0], [0, 30065, 0], [0, 0, 93]]",0.9998668087,"[[0, 1, 0], [0, 7486, 0], [0, 0, 21]]"
NaviMumbai,Maharashtra,2019,Maharashtra_NaviMumbai_S,0.9998391895,"[[2, 5, 0], [0, 37303, 0], [0, 1, 0]]",0.9998929222,"[[4, 1], [0, 9334]]"
